sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4,index_location_5,index_location_6,index_location_7,index_location_8,index_location_9	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4,R_0_5,R_0_6,R_0_7,R_0_8,R_0_9	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4,S_0_5,S_0_6,S_0_7,S_0_8,S_0_9	beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4,sampling_rate_5,sampling_rate_6,sampling_rate_7,sampling_rate_8,sampling_rate_9	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4,loc0_imports_per_capita_from_5,loc0_imports_per_capita_from_6,loc0_imports_per_capita_from_7,loc0_imports_per_capita_from_8,loc0_imports_per_capita_from_9:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4,loc1_imports_per_capita_from_5,loc1_imports_per_capita_from_6,loc1_imports_per_capita_from_7,loc1_imports_per_capita_from_8,loc1_imports_per_capita_from_9:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4,loc2_imports_per_capita_from_5,loc2_imports_per_capita_from_6,loc2_imports_per_capita_from_7,loc2_imports_per_capita_from_8,loc2_imports_per_capita_from_9:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4,loc3_imports_per_capita_from_5,loc3_imports_per_capita_from_6,loc3_imports_per_capita_from_7,loc3_imports_per_capita_from_8,loc3_imports_per_capita_from_9:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4,loc4_imports_per_capita_from_5,loc4_imports_per_capita_from_6,loc4_imports_per_capita_from_7,loc4_imports_per_capita_from_8,loc4_imports_per_capita_from_9:loc5_imports_per_capita_from_0,loc5_imports_per_capita_from_1,loc5_imports_per_capita_from_2,loc5_imports_per_capita_from_3,loc5_imports_per_capita_from_4,loc5_imports_per_capita_from_5,loc5_imports_per_capita_from_6,loc5_imports_per_capita_from_7,loc5_imports_per_capita_from_8,loc5_imports_per_capita_from_9:loc6_imports_per_capita_from_0,loc6_imports_per_capita_from_1,loc6_imports_per_capita_from_2,loc6_imports_per_capita_from_3,loc6_imports_per_capita_from_4,loc6_imports_per_capita_from_5,loc6_imports_per_capita_from_6,loc6_imports_per_capita_from_7,loc6_imports_per_capita_from_8,loc6_imports_per_capita_from_9:loc7_imports_per_capita_from_0,loc7_imports_per_capita_from_1,loc7_imports_per_capita_from_2,loc7_imports_per_capita_from_3,loc7_imports_per_capita_from_4,loc7_imports_per_capita_from_5,loc7_imports_per_capita_from_6,loc7_imports_per_capita_from_7,loc7_imports_per_capita_from_8,loc7_imports_per_capita_from_9:loc8_imports_per_capita_from_0,loc8_imports_per_capita_from_1,loc8_imports_per_capita_from_2,loc8_imports_per_capita_from_3,loc8_imports_per_capita_from_4,loc8_imports_per_capita_from_5,loc8_imports_per_capita_from_6,loc8_imports_per_capita_from_7,loc8_imports_per_capita_from_8,loc8_imports_per_capita_from_9:loc9_imports_per_capita_from_0,loc9_imports_per_capita_from_1,loc9_imports_per_capita_from_2,loc9_imports_per_capita_from_3,loc9_imports_per_capita_from_4,loc9_imports_per_capita_from_5,loc9_imports_per_capita_from_6,loc9_imports_per_capita_from_7,loc9_imports_per_capita_from_8,loc9_imports_per_capita_from_9	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4,infections_per_capita_5,infections_per_capita_6,infections_per_capita_7,infections_per_capita_8,infections_per_capita_9	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4,time_of_first_import_5,time_of_first_import_6,time_of_first_import_7,time_of_first_import_8,time_of_first_import_9	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim36	0,0,1,0,0	2.73974,2.73974,2.73974,2.73974,2.73974,2.73974,2.73974,2.73974,2.73974,2.73974	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438,0.000000104438	.03324	.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488,.00488	499	.00359	100.00000990	203	13.75460018	0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05:1e-05,0,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05:1e-05,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05:1e-05,2e-05,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05:1e-05,1e-05,1e-05,1e-05,0,1e-05,2e-05,1e-05,1e-05,2e-05:1e-05,2e-05,1e-05,1e-05,2e-05,0,1e-05,2e-05,2e-05,2e-05:1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,0,0,1e-05,2e-05:1e-05,2e-05,1e-05,2e-05,2e-05,1e-05,1e-05,0,2e-05,3e-05:1e-05,2e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05:1e-05,1e-05,1e-05,1e-05,2e-05,0,1e-05,1e-05,1e-05,0	0.00035,0.00053,0.000383,0.000317,0.000449,0.000222,0.000315,0.000352,0.00041,0.000457	17.28666362,2.91444829,29.78965946,42.06546126,34.80870942,1.02499742,45.01688843,0,15.01755591,15.01737004	1	100	100	2399	28
sim37	0,0,0,0,1	4.25024,4.25024,4.25024,4.25024,4.25024,4.25024,4.25024,4.25024,4.25024,4.25024	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492,0.000000086492	.01574	.00461,.00461,.00461,.00461,.00461,.00461,.00461,.00461,.00461,.00461	499	.00071	100.00000442	21	16.24933753	0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0	0.00023,0,0,1.8e-05,4e-05,2.2e-05,1e-06,0,4e-06,1e-06	37.61108945,92.92333631,89.58313252,68.51641422,51.97572125,72.45168875,0,88.05981389,78.71352025,90.79737575	1	100	100	242	1
sim38	0,0,0,0,1	6.86780,6.86780,6.86780,6.86780,6.86780,6.86780,6.86780,6.86780,6.86780,6.86780	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670,0.000000111670	.01236	.00390,.00390,.00390,.00390,.00390,.00390,.00390,.00390,.00390,.00390	499	.00185	100.00000999	499	19.38585852	0,0.00018,7e-05,4e-05,4e-05,5e-05,6e-05,5e-05,4e-05,0.00021:4e-05,0,8e-05,5e-05,5e-05,5e-05,5e-05,5e-05,4e-05,0.00022:5e-05,0.00018,0,4e-05,4e-05,4e-05,6e-05,6e-05,4e-05,0.00018:5e-05,0.00017,8e-05,0,4e-05,5e-05,7e-05,6e-05,4e-05,0.00022:6e-05,0.00017,8e-05,5e-05,0,4e-05,9e-05,4e-05,4e-05,0.00021:6e-05,0.00017,7e-05,4e-05,4e-05,0,6e-05,6e-05,6e-05,2e-04:6e-05,0.00019,7e-05,5e-05,5e-05,4e-05,0,5e-05,4e-05,0.00019:5e-05,0.00018,7e-05,5e-05,3e-05,4e-05,7e-05,0,4e-05,0.00022:4e-05,0.00016,7e-05,4e-05,4e-05,4e-05,5e-05,6e-05,0,2e-04:4e-05,2e-04,6e-05,6e-05,4e-05,6e-05,6e-05,5e-05,3e-05,0	0.003125,0.010211,0.004612,0.002968,0.002577,0.002764,0.004114,0.002853,0.002428,0.012447	24.57170608,14.80441406,31.51834429,30.32483316,37.3224883,22.13048457,37.89803423,28.853567,29.85161812,0	0.234053	100	100	41072	104
sim41	1,0,0,0,0	5.70818,5.70818,5.70818,5.70818,5.70818,5.70818,5.70818,5.70818,5.70818,5.70818	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505,0.000000141505	.02224	.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255	499	.00378	100.00000994	386	12.23569771	0,6e-05,4e-05,2e-05,3e-05,2e-05,6e-05,3e-05,5e-05,6e-05:5e-05,0,4e-05,4e-05,2e-05,2e-05,4e-05,3e-05,5e-05,6e-05:4e-05,4e-05,0,3e-05,3e-05,3e-05,4e-05,3e-05,5e-05,7e-05:5e-05,5e-05,5e-05,0,3e-05,2e-05,4e-05,4e-05,6e-05,6e-05:4e-05,6e-05,5e-05,2e-05,0,1e-05,4e-05,3e-05,5e-05,5e-05:4e-05,6e-05,5e-05,4e-05,2e-05,0,3e-05,4e-05,5e-05,6e-05:4e-05,6e-05,4e-05,4e-05,2e-05,2e-05,0,3e-05,6e-05,5e-05:4e-05,5e-05,5e-05,3e-05,3e-05,2e-05,4e-05,0,6e-05,4e-05:3e-05,6e-05,5e-05,4e-05,2e-05,3e-05,6e-05,4e-05,0,6e-05:4e-05,6e-05,5e-05,3e-05,2e-05,2e-05,4e-05,3e-05,6e-05,0	0.001436,0.001897,0.00179,0.001364,0.000802,0.000832,0.001544,0.001114,0.001989,0.001982	53.99764181,44.44687887,40.72580841,49.37391236,59.95715405,47.2452724,47.28831653,57.79747881,0,17.27531589	1	100	100	12165	123
sim44	0,0,0,0,1	5.76182,5.76182,5.76182,5.76182,5.76182,5.76182,5.76182,5.76182,5.76182,5.76182	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579,0.000000087579	.01181	.00339,.00339,.00339,.00339,.00339,.00339,.00339,.00339,.00339,.00339	499	.00358	100.00000919	66	17.57736822	0,0,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05:0,0,1e-05,0,0,0,0,0,1e-05,0:0,0,0,0,0,1e-05,0,0,0,1e-05:1e-05,0,0,0,1e-05,1e-05,0,0,1e-05,1e-05:1e-05,0,0,1e-05,0,0,0,0,1e-05,1e-05:1e-05,0,1e-05,0,1e-05,0,0,1e-05,1e-05,1e-05:1e-05,0,1e-05,1e-05,1e-05,0,0,0,1e-05,1e-05:1e-05,0,1e-05,1e-05,0,1e-05,0,0,1e-05,1e-05:1e-05,0,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05:1e-05,0,1e-05,1e-05,0,1e-05,0,0,1e-05,0	0.000207,9.6e-05,0.000208,0.000147,0.000186,0.000193,9.7e-05,0.000151,0.000203,0.000145	26.51059204,23.27194931,31.60202675,39.37031286,0,35.93398345,10.88261782,41.96376298,3.84414676,41.05785505	1	100	100	1368	11
sim46	0,0,1,0,0	5.53622,5.53622,5.53622,5.53622,5.53622,5.53622,5.53622,5.53622,5.53622,5.53622	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883,0.000000096883	.01617	.00133,.00133,.00133,.00133,.00133,.00133,.00133,.00133,.00133,.00133	499	.00038	100.00000996	44	20.19011140	0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0	0.000383,9e-06,0.001356,9e-06,6e-06,0,0.000217,9e-06,1.8e-05,2.6e-05	16.15603826,68.43675047,0,80.10900338,90.35024209,59.34471078,17.71440579,83.4955354,57.72907693,73.99904829	1	100	100	1636	17
sim56	0,0,0,0,1	2.61338,2.61338,2.61338,2.61338,2.61338,2.61338,2.61338,2.61338,2.61338,2.61338	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064,0.000000123064	.04254	.00455,.00455,.00455,.00455,.00455,.00455,.00455,.00455,.00455,.00455	499	.00204	100.00000980	317	13.09089238	0,1e-05,0,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05:0,0,0,3e-05,1e-05,1e-05,0,1e-05,1e-05,3e-05:0,1e-05,0,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05:0,1e-05,1e-05,0,1e-05,1e-05,0,0,1e-05,4e-05:1e-05,1e-05,1e-05,3e-05,0,0,0,1e-05,1e-05,3e-05:1e-05,0,1e-05,3e-05,1e-05,0,0,0,1e-05,4e-05:0,1e-05,1e-05,3e-05,1e-05,1e-05,0,0,1e-05,2e-05:1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0,0,1e-05,3e-05:1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,0,4e-05:0,0,1e-05,3e-05,1e-05,0,0,0,1e-05,0	0.000284,0.000441,0.000522,0.00168,0.000566,0.000453,0.000408,0.000359,0.00045,0.002037	41.62314247,33.62742868,30.25161485,11.42437086,39.48416824,34.00049764,31.02121631,46.72486334,27.55302868,0	1	100	100	4448	42
sim58	0,0,0,0,1	4.64558,4.64558,4.64558,4.64558,4.64558,4.64558,4.64558,4.64558,4.64558,4.64558	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019,0.000000100019	.02050	.00103,.00103,.00103,.00103,.00103,.00103,.00103,.00103,.00103,.00103	499	.00253	100.00000943	31	20.19029572	0,0,0,0,0,0,0,2e-05,0,0:0,0,0,1e-05,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,1e-05,0,2e-05,0,0:0,0,0,0,0,1e-05,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,1e-05,0,0,1e-05,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,1e-05,0,0,1e-05,0,0:0,0,0,0,0,0,0,1e-05,0,0	5.7e-05,0.000117,5.3e-05,0.000176,9.9e-05,0.000195,6.4e-05,0.00046,8.2e-05,3.5e-05	20.57227246,44.49386435,60.02489289,46.79160923,43.34149173,48.94012587,63.76955445,0,61.72624328,71.57107638	1	100	100	1039	10
sim59	0,0,0,0,1	3.00014,3.00014,3.00014,3.00014,3.00014,3.00014,3.00014,3.00014,3.00014,3.00014	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936,0.000000129936	.03895	.00436,.00436,.00436,.00436,.00436,.00436,.00436,.00436,.00436,.00436	499	.00196	100.00000994	211	13.26554740	0,0,1e-05,1e-05,0,1e-05,2e-05,1e-05,1e-05,0:1e-05,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,0:1e-05,0,0,1e-05,1e-05,0,2e-05,1e-05,1e-05,0:0,0,0,0,1e-05,1e-05,3e-05,1e-05,1e-05,0:1e-05,1e-05,0,1e-05,0,1e-05,2e-05,1e-05,0,0:1e-05,0,0,1e-05,1e-05,0,2e-05,0,1e-05,0:1e-05,0,0,1e-05,1e-05,0,0,1e-05,1e-05,0:1e-05,0,0,1e-05,1e-05,1e-05,2e-05,0,0,0:0,0,0,2e-05,1e-05,1e-05,1e-05,1e-05,0,0:1e-05,1e-05,0,0,1e-05,1e-05,2e-05,1e-05,0,0	0.000319,0.000324,0.000187,0.000779,0.000568,0.000481,0.00127,0.000591,0.000491,0.000143	38.60953399,36.5991076,32.63432058,17.09971952,11.04806638,33.30766023,0,46.40672474,47.6585809,60.98443709	1	100	100	3388	35
sim61	0,0,0,0,1	4.69244,4.69244,4.69244,4.69244,4.69244,4.69244,4.69244,4.69244,4.69244,4.69244	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304,0.000000066304	.01194	.00219,.00219,.00219,.00219,.00219,.00219,.00219,.00219,.00219,.00219	499	.00387	100.00000892	32	22.14675082	0,0,1e-05,1e-05,0,0,1e-05,0,0,0:1e-05,0,0,0,0,0,0,0,0,1e-05:0,0,0,1e-05,0,0,1e-05,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,1e-05,0,0,0:0,0,1e-05,0,0,0,0,0,0,1e-05:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,1e-05,0,0,1e-05,0,0,0:0,0,1e-05,0,0,0,1e-05,0,0,0	7.5e-05,2.5e-05,0.000101,6.5e-05,4.8e-05,4.6e-05,0.000135,4.7e-05,3e-05,5.8e-05	9.02623947,24.65986464,26.04122817,42.98367888,32.81039821,39.35399867,0,46.30015289,60.45372077,38.32779643	1	100	100	498	12
sim62	0,0,1,0,0	2.26514,2.26514,2.26514,2.26514,2.26514,2.26514,2.26514,2.26514,2.26514,2.26514	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859,0.000000109859	.04440	.00410,.00410,.00410,.00410,.00410,.00410,.00410,.00410,.00410,.00410	499	.00139	100.00000863	82	13.76354648	0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0	5.1e-05,2.9e-05,0.001018,6e-05,0.000108,4.6e-05,2.4e-05,3.1e-05,5.2e-05,5e-05	68.50093504,50.50039193,0,45.19410841,44.1567896,70.38761927,28.82939037,48.30994188,66.43648646,44.29769782	1	100	100	814	9
sim65	0,0,1,0,0	5.14472,5.14472,5.14472,5.14472,5.14472,5.14472,5.14472,5.14472,5.14472,5.14472	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305,0.000000071305	.01073	.00313,.00313,.00313,.00313,.00313,.00313,.00313,.00313,.00313,.00313	499	.00073	100.00000907	21	17.56203845	0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0	6e-06,0,1.1e-05,0,2e-06,2e-06,1e-05,5e-06,0.000308,0	80.03269295,96.25045319,61.64604336,87.73443364,81.83379864,74.84384434,61.52342916,67.55449649,0,60.29908026	1	100	100	262	3
sim69	0,1,0,0,0	3.28868,3.28868,3.28868,3.28868,3.28868,3.28868,3.28868,3.28868,3.28868,3.28868	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687,0.000000096687	.02775	.00165,.00165,.00165,.00165,.00165,.00165,.00165,.00165,.00165,.00165	499	.00364	100.00000948	73	19.24060607	0,2e-05,2e-05,1e-05,0,0,1e-05,1e-05,1e-05,1e-05:1e-05,0,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05:1e-05,2e-05,0,1e-05,2e-05,2e-05,0,1e-05,1e-05,1e-05:1e-05,3e-05,1e-05,0,2e-05,1e-05,1e-05,2e-05,0,1e-05:2e-05,2e-05,2e-05,1e-05,0,1e-05,1e-05,2e-05,1e-05,1e-05:1e-05,1e-05,2e-05,1e-05,2e-05,0,2e-05,1e-05,1e-05,1e-05:2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05:1e-05,2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0,2e-05,1e-05:1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05:1e-05,1e-05,2e-05,2e-05,1e-05,0,1e-05,2e-05,1e-05,0	0.000432,0.000474,0.000438,0.000314,0.000343,0.000195,0.00027,0.000368,0.000293,0.000242	17.81866108,0,31.49017382,39.59209037,10.61010069,50.80489665,33.16566829,37.5945531,29.78154531,12.76894351	1	100	100	2373	19
sim72	0,1,0,0,0	5.11616,5.11616,5.11616,5.11616,5.11616,5.11616,5.11616,5.11616,5.11616,5.11616	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491,0.000000074491	.01180	.00276,.00276,.00276,.00276,.00276,.00276,.00276,.00276,.00276,.00276	499	.00393	100.00000992	48	18.44630183	0,0,1e-05,0,0,0,0,1e-05,0,0:0,0,1e-05,0,0,0,0,2e-05,1e-05,0:1e-05,0,0,0,0,0,1e-05,1e-05,0,0:1e-05,0,0,0,0,0,0,1e-05,0,0:0,1e-05,1e-05,0,0,0,0,1e-05,0,0:0,0,1e-05,0,1e-05,0,1e-05,1e-05,0,0:0,0,0,0,0,1e-05,0,1e-05,0,0:0,0,1e-05,0,0,0,0,0,0,0:1e-05,0,1e-05,0,0,0,0,1e-05,0,0:0,0,1e-05,0,0,0,0,1e-05,0,0	0.000134,4.9e-05,0.000129,7.2e-05,6.7e-05,4.6e-05,9.7e-05,0.000228,7.7e-05,5.4e-05	26.65803929,0,27.03568194,53.08611371,56.94239569,34.25605983,41.37681578,7.29860862,57.29124264,53.91222566	1	100	100	747	10
sim73	0,0,0,0,1	5.25788,5.25788,5.25788,5.25788,5.25788,5.25788,5.25788,5.25788,5.25788,5.25788	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347,0.000000125347	.02127	.00257,.00257,.00257,.00257,.00257,.00257,.00257,.00257,.00257,.00257	499	.00041	100.00000998	499	15.78259814	0,0,0,0,6e-05,0,0,1e-05,2e-05,0:0,0,0,0,6e-05,0,0,0,1e-05,0:0,0,0,0,7e-05,1e-05,0,0,1e-05,0:0,0,0,0,7e-05,0,0,0,1e-05,0:0,0,0,0,0,0,0,0,1e-05,0:0,0,0,0,6e-05,0,0,0,1e-05,0:0,0,0,0,6e-05,0,0,0,1e-05,0:0,0,0,0,6e-05,0,0,0,1e-05,0:0,0,1e-05,0,7e-05,0,0,0,0,0:0,0,0,0,6e-05,0,0,0,1e-05,0	0.001275,0.000359,0.000488,0.000666,0.018602,0.000757,0.000841,0.000943,0.003521,0.000546	48.88653663,51.06807902,60.78075295,56.49971475,0,45.69148317,37.35318096,20.57873762,21.33077538,62.10023207	0.631646	100	100	22651	133
sim76	0,0,1,0,0	2.76920,2.76920,2.76920,2.76920,2.76920,2.76920,2.76920,2.76920,2.76920,2.76920	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266,0.000000120266	.04307	.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036,.00036	499	.00143	100.00000979	119	24.69793903	0,1e-05,4e-05,1e-05,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05:2e-05,0,4e-05,0,2e-05,3e-05,2e-05,1e-05,1e-05,1e-05:1e-05,1e-05,0,0,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05:1e-05,1e-05,4e-05,0,1e-05,2e-05,2e-05,2e-05,1e-05,1e-05:1e-05,1e-05,4e-05,0,0,3e-05,2e-05,3e-05,1e-05,1e-05:1e-05,1e-05,4e-05,0,2e-05,0,3e-05,2e-05,1e-05,2e-05:2e-05,1e-05,6e-05,0,1e-05,3e-05,0,2e-05,1e-05,1e-05:1e-05,1e-05,5e-05,0,2e-05,3e-05,2e-05,0,0,2e-05:1e-05,1e-05,5e-05,0,1e-05,3e-05,2e-05,2e-05,0,2e-05:2e-05,1e-05,5e-05,0,1e-05,2e-05,1e-05,1e-05,1e-05,0	0.001323,0.00089,0.003738,4e-04,0.00104,0.002377,0.001371,0.001751,0.000712,0.00109	24.15318099,39.13665724,0,40.80009209,46.20300187,14.36036735,28.00395602,35.84952673,23.0577058,29.39380749	1	100	100	9459	80
