sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4	beta_0,beta_1,beta_2,beta_3,beta_4 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim83	0,0,1,0,0	6.53708,6.74036,3.78254,3.74318,4.95614	1000000,1000000,1000000,1000000,1000000	0.000000168264,0.000000173496,0.000000097362,0.000000096349,0.000000127571	.02327	.00247,.00247,.00247,.00247,.00247	499	.00044	100.00000998	499	13.82868613	0,0.00012,1e-05,0,0:2e-05,0,1e-05,0,0:2e-05,0.00013,0,0,0:2e-05,0.00011,1e-05,0,0:2e-05,9e-05,1e-05,0,0	0.006484,0.044465,0.002459,0.000206,0.000308	41.93661058,37.00257476,0,62.6976844,61.90500661	0.387422	100	100	45409	170
sim84	0,0,0,1,0	5.88338,4.97372,3.44804,7.54916,2.71940	1000000,1000000,1000000,1000000,1000000	0.000000070777,0.000000059833,0.000000041479,0.000000090816,0.000000032714	.01010	.00193,.00193,.00193,.00193,.00193	499	.00169	100.00000980	30	17.34156013	0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,1e-05,0:0,0,0,0,0:0,0,0,1e-05,0	1.3e-05,2.4e-05,3e-06,0.000711,8e-06	73.63572139,62.8253438,61.20126093,0,72.86622786	1	100	100	638	11
sim87	0,0,0,0,1	3.56210,7.51034,7.71998,5.19746,7.39130	1000000,1000000,1000000,1000000,1000000	0.000000048159,0.000000101539,0.000000104374,0.000000070269,0.000000099930	.01341	.00011,.00011,.00011,.00011,.00011	499	.00467	100.00000981	38	26.71339893	0,2e-05,2e-05,2e-05,0.00011:1e-05,0,3e-05,1e-05,1e-04:1e-05,3e-05,0,1e-05,8e-05:2e-05,3e-05,2e-05,0,0.00012:1e-05,3e-05,1e-05,2e-05,0	0.000155,0.000661,0.00046,0.000318,0.002092	7.79185443,25.89444047,34.15194941,34.82826013,0	1	100	100	3182	34
sim88	1,0,0,0,0	6.33272,7.11500,6.50708,2.71976,6.08078	1000000,1000000,1000000,1000000,1000000	0.000000130833,0.000000146995,0.000000134436,0.000000056190,0.000000125628	.01677	.00389,.00389,.00389,.00389,.00389	499	.00192	100.00000983	499	12.06546203	0,0.00012,1e-05,1e-05,2e-05:8e-05,0,1e-05,1e-05,1e-05:8e-05,0.00013,0,1e-05,1e-05:8e-05,0.00011,1e-05,0,2e-05:9e-05,0.00011,1e-05,1e-05,0	0.00594,0.009127,0.000868,0.000202,0.000665	0,42.16280517,52.08404214,53.12163342,46.04506108	0.78831	100	100	14231	106
sim101	0,0,0,1,0	5.04728,6.14966,4.91822,5.65946,2.87618	1000000,1000000,1000000,1000000,1000000	0.000000082825,0.000000100915,0.000000080707,0.000000092871,0.000000047198	.01385	.00256,.00256,.00256,.00256,.00256	499	.00114	100.00000998	186	15.66201663	0,2e-05,0,2e-05,0:0,0,0,2e-05,0:0,3e-05,0,3e-05,0:0,4e-05,0,0,0:0,3e-05,0,3e-05,0	0.000142,0.002639,0.000276,0.002043,3.5e-05	38.60941629,9.3862002,35.00043409,0,38.05320556	1	100	100	4202	26
sim102	0,0,0,0,1	4.46684,4.73546,7.51214,4.53242,3.54140	1000000,1000000,1000000,1000000,1000000	0.000000090721,0.000000096177,0.000000152571,0.000000092053,0.000000071925	.01931	.00100,.00100,.00100,.00100,.00100	499	.00103	100.00000986	28	18.41927495	0,0,1e-05,0,0:0,0,1e-05,0,0:0,0,0,0,0:0,0,1e-05,0,0:0,0,1e-05,0,0	1.4e-05,1.6e-05,0.001545,0.000133,0.000222	77.34414155,73.06660821,43.21228322,46.58920627,0	1	100	100	1639	17
sim105	0,0,1,0,0	5.09768,5.67260,5.03318,4.14074,4.27586	1000000,1000000,1000000,1000000,1000000	0.000000113831,0.000000126669,0.000000112390,0.000000092462,0.000000095479	.01892	.00341,.00341,.00341,.00341,.00341	499	.00352	100.00000979	87	13.71149248	0,5e-05,1e-05,1e-05,1e-05:1e-05,0,1e-05,1e-05,0:1e-05,4e-05,0,1e-05,0:1e-05,4e-05,1e-05,0,1e-05:1e-05,4e-05,1e-05,1e-05,0	0.000217,0.001425,0.000389,0.000168,0.000218	27.96846284,27.48737635,0,8.99175493,42.62275582	1	100	100	1975	24
sim108	0,1,0,0,0	2.45006,4.19144,6.32852,7.11206,5.78432	1000000,1000000,1000000,1000000,1000000	0.000000042802,0.000000073224,0.000000110559,0.000000124247,0.000000101052	.01392	.00355,.00355,.00355,.00355,.00355	499	.00434	100.00000979	84	14.78699415	0,0,1e-05,1e-05,3e-05:0,0,2e-05,1e-05,3e-05:0,1e-05,0,1e-05,3e-05:0,2e-05,2e-05,0,3e-05:1e-05,1e-05,1e-05,1e-05,0	3.8e-05,0.000255,0.000442,0.000319,0.000701	51.31351512,0,51.94425559,46.27775395,24.2519576	1	100	100	1444	20
sim114	0,0,1,0,0	7.65020,7.51544,2.87360,7.97198,5.15330	1000000,1000000,1000000,1000000,1000000	0.000000107255,0.000000105366,0.000000040287,0.000000111767,0.000000072249	.01174	.00228,.00228,.00228,.00228,.00228	499	.00248	100.00000963	99	16.65573215	0,5e-05,0,0,1e-05:1e-05,0,0,1e-05,1e-05:2e-05,3e-05,0,1e-05,1e-05:1e-05,5e-05,0,0,1e-05:1e-05,6e-05,0,0,0	0.000605,0.002221,4.5e-05,0.000227,0.000243	35.67051881,20.77944494,0,36.71849495,14.45697372	1	100	100	2872	30
sim126	0,1,0,0,0	7.59404,6.55376,2.83826,4.67666,3.24896	1000000,1000000,1000000,1000000,1000000	0.000000094166,0.000000081266,0.000000035194,0.000000057990,0.000000040287	.01090	.00150,.00150,.00150,.00150,.00150	499	.00277	100.00000958	39	22.40921760	0,3e-05,0,0,0:1e-05,0,0,0,0:1e-05,1e-05,0,1e-05,0:1e-05,3e-05,1e-05,0,0:1e-05,3e-05,0,0,0	0.000222,0.000872,2.8e-05,5.2e-05,5.2e-05	15.41284467,0,55.07723375,49.58460658,16.54197349	1	100	100	1022	15
sim130	0,0,0,0,1	4.00448,4.68128,6.46694,3.93452,5.18702	1000000,1000000,1000000,1000000,1000000	0.000000104797,0.000000122509,0.000000169239,0.000000102966,0.000000135744	.02348	.00269,.00269,.00269,.00269,.00269	499	.00017	100.00000993	153	14.60915145	0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,1e-05:0,0,0,0,0	7e-06,2e-06,1.6e-05,1.1e-05,0.006363	85.85960462,90.73311087,85.87850554,73.62935571,0	1	100	100	5162	50
sim136	0,0,0,0,1	6.58322,4.72922,2.54840,5.79932,6.57482	1000000,1000000,1000000,1000000,1000000	0.000000096970,0.000000069661,0.000000037537,0.000000085423,0.000000096847	.01099	.00374,.00374,.00374,.00374,.00374	499	.00310	100.00000964	89	14.85476774	0,0,0,0,3e-05:1e-05,0,0,0,3e-05:1e-05,1e-05,0,0,4e-05:0,0,0,0,4e-05:0,0,0,0,0	0.00021,4.6e-05,2.4e-05,0.000116,0.001226	31.36587933,56.00516916,26.31561642,45.36387935,0	1	100	100	1344	16
sim149	0,0,0,1,0	6.62150,3.42716,7.28714,5.65412,7.00826	1000000,1000000,1000000,1000000,1000000	0.000000107930,0.000000055862,0.000000118780,0.000000092162,0.000000114234	.01586	.00044,.00044,.00044,.00044,.00044	499	.00118	100.00000886	30	22.47958541	0,0,0,2e-05,0:0,0,0,1e-05,0:0,0,0,2e-05,0:1e-05,0,0,0,0:0,0,0,2e-05,0	0.000263,1e-05,0.000231,0.001288,0.000348	56.51984034,75.92186611,62.78941322,0,52.10052775	1	100	100	1800	18
sim153	1,0,0,0,0	3.10544,3.83018,6.66164,4.36190,4.30316	1000000,1000000,1000000,1000000,1000000	0.000000110336,0.000000136086,0.000000236688,0.000000154978,0.000000152891	.03165	.00388,.00388,.00388,.00388,.00388	499	.00384	100.00000994	499	9.50745507	0,2e-05,0.00047,5e-05,3e-05:3e-05,0,5e-04,4e-05,3e-05:3e-05,3e-05,0,5e-05,4e-05:3e-05,3e-05,5e-04,0,3e-05:3e-05,2e-05,0.00053,5e-05,0	0.000888,0.000825,0.030293,0.001946,0.001444	0,57.44453488,54.50681676,46.56839725,57.87212516	0.525263	100	100	29572	157
sim162	0,0,0,0,1	6.03668,6.08426,3.84242,4.93742,5.71382	1000000,1000000,1000000,1000000,1000000	0.000000148924,0.000000150098,0.000000094792,0.000000121806,0.000000140959	.02223	.00244,.00244,.00244,.00244,.00244	499	.00066	100.00000983	499	13.57228046	0,2e-05,0,0,8e-05:0,0,0,0,9e-05:0,2e-05,0,0,8e-05:0,2e-05,0,0,7e-05:0,2e-05,0,0,0	0.000642,0.005308,0.000129,0.000246,0.017872	50.4030337,41.19371236,70.71433442,67.30502538,0	0.831667	100	100	19913	158
sim165	1,0,0,0,0	4.31210,5.39540,2.78552,3.61520,5.36024	1000000,1000000,1000000,1000000,1000000	0.000000110519,0.000000138284,0.000000071392,0.000000092657,0.000000137382	.02517	.00046,.00046,.00046,.00046,.00046	499	.00080	100.00000970	49	21.95639822	0,0,0,0,0:3e-05,0,0,0,0:3e-05,0,0,0,0:3e-05,0,0,0,0:2e-05,0,0,0,0	0.003384,9e-05,5.2e-05,7.7e-05,0.000479	0,67.05540317,64.90631346,56.25441561,59.21428122	1	100	100	3138	32
sim167	0,0,0,1,0	7.90766,2.03384,5.88266,6.18002,3.83054	1000000,1000000,1000000,1000000,1000000	0.000000134192,0.000000034514,0.000000099828,0.000000104874,0.000000065004	.01407	.00290,.00290,.00290,.00290,.00290	499	.00076	100.00000993	499	15.19666549	0,0,0,7e-05,0:2e-05,0,0,7e-05,0:3e-05,0,0,0.00011,0:2e-05,0,1e-05,0,0:2e-05,0,1e-05,7e-05,0	0.004231,4.1e-05,0.000766,0.011095,9.8e-05	33.14708767,28.69932466,34.53479804,0,37.73891394	0.897482	100	100	13761	124
sim168	0,1,0,0,0	7.41494,6.51020,3.89408,5.77280,4.09622	1000000,1000000,1000000,1000000,1000000	0.000000095578,0.000000083916,0.000000050194,0.000000074411,0.000000052800	.01066	.00223,.00223,.00223,.00223,.00223	499	.00214	100.00000910	55	16.06390716	0,2e-05,0,0,0:0,0,0,0,0:0,2e-05,0,0,0:0,2e-05,0,0,0:0,2e-05,0,0,0	5.2e-05,0.000973,3.6e-05,2.7e-05,2.2e-05	46.55554402,0,30.47128352,42.21721156,28.97484892	1	100	100	919	6
sim169	1,0,0,0,0	5.91818,4.55858,4.41560,4.52798,4.59284	1000000,1000000,1000000,1000000,1000000	0.000000128957,0.000000099331,0.000000096215,0.000000098664,0.000000100077	.01791	.00388,.00388,.00388,.00388,.00388	499	.00158	100.00000987	499	18.17921522	0,4e-05,2e-05,3e-05,2e-05:0.00063,0,2e-05,2e-05,3e-05:0.00062,3e-05,0,2e-05,3e-05:6e-04,4e-05,3e-05,0,4e-05:0.00062,3e-05,3e-05,3e-05,0	0.048231,0.001977,0.001655,0.002094,0.001825	0,39.71950921,26.71386042,29.05159576,48.61269584	0.232526	100	100	45838	101
sim175	1,0,0,0,0	4.41908,3.27884,4.17440,3.37640,2.48522	1000000,1000000,1000000,1000000,1000000	0.000000139333,0.000000103381,0.000000131618,0.000000106457,0.000000078358	.03100	.00053,.00053,.00053,.00053,.00053	499	.00086	100.00000988	206	17.25039944	0,0,0,0,0:1e-04,0,0,0,0:0.00012,0,0,1e-05,0:0.00012,0,0,0,0:1e-04,0,0,0,0	0.016958,0.000153,0.000587,0.000544,0.000153	0,54.77471459,50.40430884,52.32871079,58.74384193	1	100	100	14176	117
sim181	0,0,0,1,0	4.04090,5.47160,7.85918,4.34492,4.73750	1000000,1000000,1000000,1000000,1000000	0.000000073706,0.000000099801,0.000000143351,0.000000079251,0.000000086412	.01628	.00196,.00196,.00196,.00196,.00196	499	.00499	100.00000903	37	17.51326436	0,1e-05,3e-05,3e-05,0:1e-05,0,3e-05,3e-05,0:1e-05,1e-05,0,2e-05,0:0,1e-05,3e-05,0,1e-05:0,1e-05,2e-05,2e-05,0	7.9e-05,0.000216,0.000809,0.000365,6.9e-05	44.81037547,44.26047646,46.41468835,0,49.96072407	1	100	100	1271	11
sim182	0,0,1,0,0	7.77914,4.43480,4.19438,2.10122,4.28738	1000000,1000000,1000000,1000000,1000000	0.000000182809,0.000000104217,0.000000098567,0.000000049378,0.000000100753	.02336	.00014,.00014,.00014,.00014,.00014	499	.00269	100.00000983	81	21.01544896	0,1e-05,9e-05,1e-05,1e-05:6e-05,0,1e-04,1e-05,1e-05:6e-05,1e-05,0,0,1e-05:6e-05,1e-05,0.00011,0,2e-05:6e-05,1e-05,1e-04,1e-05,0	0.003854,0.000417,0.003868,0.000176,0.000529	40.70625635,27.27740979,0,26.94504578,41.44970898	1	100	100	7094	64
sim183	0,0,1,0,0	2.77802,6.59534,6.35546,6.99506,5.87606	1000000,1000000,1000000,1000000,1000000	0.000000040920,0.000000097149,0.000000093615,0.000000103037,0.000000086554	.01123	.00350,.00350,.00350,.00350,.00350	499	.00170	100.00000976	91	13.43730160	0,0,3e-05,0,0:0,0,4e-05,0,0:0,0,0,0,0:0,0,2e-05,0,0:0,0,3e-05,0,0	4.3e-05,0.000103,0.001713,6.5e-05,9.2e-05	58.59591559,65.21768272,0,55.67570928,65.76020653	1	100	100	1696	10
sim184	0,0,0,0,1	5.58746,3.53846,6.67976,7.80734,5.67044	1000000,1000000,1000000,1000000,1000000	0.000000090013,0.000000057004,0.000000107610,0.000000125776,0.000000091350	.01199	.00412,.00412,.00412,.00412,.00412	499	.00384	100.00000994	158	13.04278781	0,0,2e-05,5e-05,2e-05:1e-05,0,3e-05,5e-05,2e-05:1e-05,1e-05,0,6e-05,2e-05:1e-05,1e-05,2e-05,0,1e-05:1e-05,1e-05,3e-05,5e-05,0	0.000301,0.000102,0.000733,0.001639,0.00051	58.41904618,39.29627185,16.64671595,28.64575855,0	1	100	100	2776	30
sim185	0,1,0,0,0	4.83122,2.93972,6.82988,7.40924,4.66184	1000000,1000000,1000000,1000000,1000000	0.000000221366,0.000000134697,0.000000312945,0.000000339491,0.000000213605	.04389	.00193,.00193,.00193,.00193,.00193	499	.00044	100.00000984	499	9.86555439	0,2e-05,1e-05,3e-05,0:0,0,1e-05,3e-05,0:0,4e-05,0,6e-05,0:0,3e-05,1e-05,0,0:0,3e-05,1e-05,4e-05,0	0.000581,0.008827,0.009065,0.030742,0.000627	70.79915337,0,61.02238949,68.91249373,69.44775459	0.687328	100	100	41065	279
sim191	0,0,1,0,0	5.59826,7.68980,5.03888,5.82788,5.56880	1000000,1000000,1000000,1000000,1000000	0.000000104127,0.000000143030,0.000000093723,0.000000108398,0.000000103579	.01474	.00386,.00386,.00386,.00386,.00386	499	.00306	100.00000949	46	12.27516977	0,0,1e-05,0,1e-05:0,0,1e-05,0,1e-05:0,0,0,0,1e-05:0,0,1e-05,0,1e-05:0,0,1e-05,0,0	5e-05,0.000132,0.000366,0.000101,0.000309	65.57633073,67.28496248,0,57.75630178,48.77097764	1	100	100	797	6
sim194	0,0,0,0,1	6.74252,2.33888,2.00366,2.70788,4.04588	1000000,1000000,1000000,1000000,1000000	0.000000226278,0.000000078492,0.000000067242,0.000000090876,0.000000135779	.03119	.00237,.00237,.00237,.00237,.00237	499	.00013	100.00000999	499	15.39439042	0,0,0,0,3e-05:0,0,0,0,3e-05:0,0,0,0,4e-05:0,0,0,0,4e-05:1e-05,0,0,0,0	0.006587,6e-05,3.1e-05,4.9e-05,0.033155	59.2065855,74.78772155,53.20526271,66.96571495,0	0.470755	100	100	30646	173
sim201	0,0,1,0,0	5.88410,3.67946,3.28796,4.05794,4.05116	1000000,1000000,1000000,1000000,1000000	0.000000189762,0.000000118662,0.000000106036,0.000000130868,0.000000130649	.03060	.00165,.00165,.00165,.00165,.00165	499	.00062	100.00000983	256	13.44198630	0,0,2e-05,0,0:2e-05,0,3e-05,0,0:2e-05,0,0,0,0:3e-05,1e-05,1e-05,0,0:3e-05,0,3e-05,0,0	0.007698,0.000684,0.003249,0.000961,0.000601	47.18795767,36.75857888,0,14.37608754,57.8573512	1	100	100	10348	117
sim206	0,1,0,0,0	3.25976,4.00634,6.39044,7.76210,4.19750	1000000,1000000,1000000,1000000,1000000	0.000000086905,0.000000106809,0.000000170369,0.000000206937,0.000000111905	.02327	.00339,.00339,.00339,.00339,.00339	499	.00164	100.00000999	128	15.43764600	0,4e-05,0,0,0:0,0,1e-05,0,0:0,4e-05,0,0,1e-05:0,3e-05,1e-05,0,0:0,3e-05,1e-05,0,0	9.6e-05,0.002213,0.000792,0.000302,0.000206	62.80039245,0,60.91767159,66.42761505,54.01214103	1	100	100	2750	23
