sim_number	x_coord_loc_0,x_coord_loc_1,x_coord_loc_2,x_coord_loc_3,x_coord_loc_4	y_coord_loc_0,y_coord_loc_1,y_coord_loc_2,y_coord_loc_3,y_coord_loc_4	m_0_1_1_0_z_1,m_0_2_2_0_z_2,m_0_3_3_0_z_3,m_0_4_4_0_z_4,m_1_0_0_1_z_5,m_1_2_2_1_z_7,m_1_3_3_1_z_8,m_1_4_4_1_z_9,m_2_0_0_2_z_10,m_2_1_1_2_z_11,m_2_3_3_2_z_13,m_2_4_4_2_z_14,m_3_0_0_3_z_15,m_3_1_1_3_z_16,m_3_2_2_3_z_17,m_3_4_4_3_z_19,m_4_0_0_4_z_20,m_4_1_1_4_z_21,m_4_2_2_4_z_22,m_4_3_3_4_z_23
sim46	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219,0.00219
sim72	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224,0.00224
sim77	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174
sim81	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285,0.00285
sim83	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044
sim84	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169
sim87	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467,0.00467
sim88	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192
sim101	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114
sim102	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103,0.00103
sim105	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352,0.00352
sim108	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434,0.00434
sim114	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248,0.00248
sim126	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277,0.00277
sim130	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017
sim136	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031
sim149	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118,0.00118
sim153	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384
sim158	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429
sim162	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066
sim165	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
sim167	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076
sim168	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214
sim169	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158
sim175	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086,0.00086
sim181	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499,0.00499
sim182	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269,0.00269
sim183	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
sim184	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384,0.00384
sim185	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044
sim191	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306,0.00306
sim194	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013
sim201	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062,0.00062
sim206	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164
sim211	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174,0.00174
sim216	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037
sim220	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437,0.00437
sim223	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395,0.00395
sim225	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495
sim227	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136,0.00136
sim228	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367,0.00367
sim235	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054
sim239	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
sim243	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079,0.00079
sim244	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373
sim246	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331,0.00331
sim260	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289,0.00289
sim261	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194,0.00194
sim266	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033
sim268	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284,0.00284
sim275	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217,0.00217
sim279	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123
sim284	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382,0.00382
sim288	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043
sim290	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112,0.00112
sim293	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417,0.00417
sim301	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
sim307	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
sim308	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262,0.00262
sim312	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245,0.00245
sim313	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059
sim316	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279
sim317	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109
sim322	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314
sim330	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379
sim334	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218,0.00218
sim339	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158
sim341	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258,0.00258
sim343	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321,0.00321
sim351	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314
sim353	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046,0.00046
sim372	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158
sim373	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402,0.00402
sim376	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441,0.00441
sim384	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063,0.00063
sim388	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209,0.00209
sim389	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117
sim393	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137,0.00137
sim395	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199,0.00199
sim400	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415,0.00415
sim411	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383
sim417	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369,0.00369
sim422	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286
sim429	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101
